Organization,Number of Awards,Total Funding,Number of Researchers,Avg Funding per Award
"ECLIPSE ENTEROGENESIS, INC.",2,1226484.0,1,613242.0
Monterey Bay Aquarium Research Institute,2,5747092.0,6,2873546.0
MAXWAVE LLC,2,1524612.0,1,762306.0
REEGEN INC,2,1387040.0,1,693520.0
"YANK TECHNOLOGIES, INC.",2,1256000.0,1,628000.0
SUPREMETRIC LLC,2,1255999.0,4,627999.5
University of Oregon Eugene,6,2253260.0,11,375543.3333333333
RE3D Inc.,3,3065008.7,5,1021669.5666666668
"NeuroFlow, Inc.",1,749374.0,1,749374.0
Regents of the University of Michigan - Ann Arbor,56,45165640.0,85,806529.2857142857
"PLASMACHEM SOLUTIONS, INC.",1,305000.0,2,305000.0
University of Notre Dame,12,5497231.0,24,458102.5833333333
University of California - Merced,6,1729550.0,8,288258.3333333333
MOLTEN MATERIALS LLC,1,274991.0,1,274991.0
ORION LABS LLC,1,256000.0,1,256000.0
THIOZEN INC.,2,1208942.0,1,604471.0
PRISMS OF REALITY INC.,1,944532.0,1,944532.0
Texas Tech University,25,1704940.0,30,68197.6
"GROW OYSTER REEFS, LLC",2,1512446.0,1,756223.0
Texas State University - San Marcos,18,1504106.0,23,83561.44444444444
NANOFLEX POWER CORPORATION,1,255929.0,2,255929.0
"PARTHIAN BATTERY SOLUTIONS, LLC",1,274951.0,2,274951.0
"ZelosDx, Inc.",1,255763.0,1,255763.0
INTELLISAFE ANALYTICS LLC,2,1277099.0,1,638549.5
FLUIDION US Inc.,2,999701.0,1,499850.5
"Geopipe, Inc.",1,750000.0,1,750000.0
University of California-Irvine,14,9832095.0,18,702292.5
University of Texas at Austin,53,27191672.0,68,513050.41509433964
University of Chicago,12,25801307.0,26,2150108.9166666665
University of Missouri-Columbia,15,15319605.0,27,1021307.0
Stevens Institute of Technology,8,899829.0,5,112478.625
"TERRY VENTURES, LLC",1,272263.0,2,272263.0
"PRECIENT TECHNOLOGIES, LLC",1,256000.0,3,256000.0
"NEXILICO, INC.",2,1224995.0,1,612497.5
"STORX TECHNOLOGIES, INC.",1,996466.0,4,996466.0
South Dakota School of Mines and Technology,4,650000.0,7,162500.0
Florida Atlantic University,2,304997.0,4,152498.5
"AIRMETTLE, INC.",1,256000.0,2,256000.0
"WEARABLE DEFENSE, LLC",1,256000.0,1,256000.0
New Jersey Institute of Technology,39,14999759.0,39,384609.2051282051
"NEUCORE BIO, INC.",1,304951.0,2,304951.0
University of Massachusetts Amherst,11,9019761.0,27,819978.2727272727
PHAGE REFINERY LLC,1,273652.0,2,273652.0
IN VIRTUALIS LLC,1,275000.0,1,275000.0
Cornell University,48,34486589.0,60,718470.6041666666
ENCORE CO2 LLC,1,275000.0,1,275000.0
Vanderbilt University,27,30871743.0,43,1143397.888888889
University of Alabama Tuscaloosa,26,20776000.0,56,799076.9230769231
University of Wisconsin-Madison,31,10136410.0,39,326980.96774193546
BLUEDOT PHOTONICS INC.,1,255927.0,1,255927.0
GLOSSIFI INC.,1,256000.0,1,256000.0
OSCIFLEX LLC,1,999727.0,1,999727.0
FIRST WATER TECHNOLOGY CO.,1,255849.0,1,255849.0
"UNIPHAGE, INC.",1,256000.0,1,256000.0
ONE-DERINGS LLC,1,224668.0,1,224668.0
RT MICRODX INC.,1,274362.0,2,274362.0
NEXUMA L.L.C.,1,304988.0,1,304988.0
"MENTE, INC.",2,1224935.0,2,612467.5
"HEROWEAR, LLC",1,998660.0,1,998660.0
"LAMBDA FUNCTION, INC.",2,1255942.0,1,627971.0
Mississippi State University,11,4653083.0,32,423007.54545454547
New York University,23,4303222.0,31,187096.60869565216
NEUROSMART INC.,2,1255647.0,2,627823.5
Prime Labs Inc,2,1006000.0,1,503000.0
University of Rhode Island,3,1298644.0,6,432881.3333333333
University of Cincinnati Main Campus,13,10371995.0,32,797845.7692307692
University of Delaware,16,9392160.0,18,587010.0
CUNY City College,6,1199999.0,10,199999.83333333334
"PLEXYMER, INC.",1,305000.0,1,305000.0
"SENOGUARD, INC.",2,1255276.0,2,627638.0
OWLFLY,2,1525000.0,1,762500.0
"NATIONAL RESOURCE CONSULTANTS, LLC",2,500000.0,3,250000.0
IRRADIANT SENSING CORPORATION,1,275000.0,2,275000.0
"Sense Diagnostics, LLC",1,750000.0,1,750000.0
"RADIANT SPACE SYSTEMS, INC.",1,275000.0,1,275000.0
Yale University,6,2899998.0,12,483333.0
"QGNAI, INC.",1,255531.0,2,255531.0
"STEMEd, LLC",1,255215.0,1,255215.0
"KODIKAZ THERAPEUTIC SOLUTIONS, INC.",1,255831.0,1,255831.0
North Carolina State University,24,6849334.0,47,285388.9166666667
INSOMA BIO INC,2,1232189.0,1,616094.5
"VECTECH, LLC",2,1255260.0,1,627630.0
"REEF ARCHES, LLC",1,154646.0,1,154646.0
Northeastern University,17,6414797.0,35,377341.0
University of Arkansas,37,9392206.0,47,253843.4054054054
Georgia Tech Research Corporation,40,36313561.0,56,907839.025
University of Hawaii,7,2428505.0,10,346929.28571428574
Myriad Sensors,1,750000.0,1,750000.0
PARISI TECHNOLOGIES LLC,1,225000.0,1,225000.0
University of California-Santa Cruz,13,4181185.0,18,321629.6153846154
GENCORES LLC,2,1255739.0,1,627869.5
ASANTE BIO LLC,2,1235298.0,1,617649.0
DePaul University,3,598892.0,6,199630.66666666666
"DEXTROUS ROBOTICS, INC.",2,1255746.0,1,627873.0
"BONDTRUE, LLC",1,256000.0,1,256000.0
Angelo State University,1,400000.0,3,400000.0
University of Connecticut,13,3513999.0,19,270307.6153846154
"OXALO THERAPEUTICS, INC.",2,1224994.0,4,612497.0
"Vimaan Robotics, Inc.",1,750000.0,1,750000.0
GFORCE ANIMATION INC,1,274828.0,2,274828.0
CANOPII INC.,2,1255138.0,1,627569.0
University of Tennessee Knoxville,9,2758405.0,19,306489.44444444444
MGH Institute of Health Professions,1,296162.0,1,296162.0
VALGOTECH LLC,1,1000000.0,4,1000000.0
National Collegiate Inventors and Innovators Alliance,4,26773550.0,1,6693387.5
Louisiana State University,16,18393543.0,33,1149596.4375
DIVERSE EMERGENT ENGINEERING PROSPECTIVE -DEEP- DESIGNS LLC,1,255866.0,1,255866.0
"MITO-BIOTHERAPEUTICS, INC.",1,274855.0,2,274855.0
University of Kentucky Research Foundation,10,2895577.0,11,289557.7
University of Colorado at Boulder,17,11678015.0,30,686942.0588235294
PHOSIO CORPORATION,1,256000.0,1,256000.0
Savage Medical Inc.,1,999742.0,1,999742.0
Glauconix Inc.,1,750000.0,1,750000.0
BIOTRONIC INNOVATIONS LLC,1,275000.0,1,275000.0
Purdue University,45,17547408.0,79,389942.4
"RENERVA, LLC",1,996171.0,1,996171.0
SPACE TANGO LLC,1,274939.0,1,274939.0
University of Southern California,16,26350724.0,31,1646920.25
KROKOS BIO INC,1,305000.0,1,305000.0
Howard University,4,1614448.0,10,403612.0
Seattle University,2,1111398.0,3,555699.0
ITOMOGRAPHY CORPORATION,1,256000.0,1,256000.0
Middle Georgia State University,1,374782.0,2,374782.0
Iowa State University,34,15147692.0,78,445520.35294117645
X-SIGHT INCORPORATED,2,1525000.0,1,762500.0
OAM PHOTONICS LLC,2,1225000.0,1,612500.0
"CICADEA BIOTECH, LLC",1,305000.0,1,305000.0
DOCARE LLC,1,273188.0,1,273188.0
Colorado School of Mines,7,2698572.0,16,385510.28571428574
CUNY City University of New York,5,19350000.0,9,3870000.0
"ETHAR, INC.",1,275000.0,2,275000.0
California Polytechnic State University Foundation,3,150000.0,3,50000.0
KAZADI ENTERPRISES LTD.,1,275000.0,1,275000.0
Eastern New Mexico University Main Campus,1,50000.0,1,50000.0
CUNY Queens College,3,150000.0,4,50000.0
"INAEDIS, INC",2,1523531.0,2,761765.5
"ROCKY MOUNTAIN INNOVATION INITIATIVE, INC.",1,15000000.0,6,15000000.0
"i5 Technologies, Inc.",1,749214.0,2,749214.0
PIRVISION LENS LLC,1,275000.0,2,275000.0
"GAIA AI, INC",2,1275000.0,3,637500.0
"EPIRUS, INC.",1,243000.0,1,243000.0
BABYLON MICRO-FARMS INC.,1,999056.0,1,999056.0
Dimensional Energy Inc.,1,734607.0,3,734607.0
INERTIAL CORPORATION,1,305000.0,3,305000.0
"COLABS, INC.",1,256000.0,1,256000.0
Fairleigh Dickinson University,1,400000.0,3,400000.0
"RAVEL HOLDINGS, INC.",2,1249893.0,1,624946.5
"OPERA BIOSCIENCE, INC.",2,1523994.0,1,761997.0
TAUMAT LLC,2,1489897.0,1,744948.5
ANVIL DIAGNOSTICS INC.,1,298646.0,1,298646.0
Icahn School of Medicine at Mount Sinai,14,700000.0,12,50000.0
MEDIMINT,1,275000.0,1,275000.0
MAXWELL COGNITIVE INC.,1,255989.0,2,255989.0
"COSMIC EATS, INC.",1,274885.0,1,274885.0
AMHYTECH LLC,1,274127.0,1,274127.0
Boise State University,5,13399376.0,20,2679875.2
EDVISION CORP.,1,224986.0,2,224986.0
"OSMOPURE TECHNOLOGIES, INC",1,1525915.0,1,1525915.0
MANUS ROBOTICS INC.,1,1000000.0,1,1000000.0
Baylor College of Medicine,3,150000.0,3,50000.0
Regents of the University of Michigan - Dearborn,9,2899763.0,12,322195.8888888889
NOBLE GAS SYSTEMS LLC,2,1225160.0,1,612580.0
ATOM LIMBS INC.,1,256000.0,1,256000.0
SUPERMEM INC.,1,225000.0,1,225000.0
DIAMOND AGE TECHNOLOGY LLC,2,1255757.0,1,627878.5
MAIJKER CORP.,2,1255833.0,2,627916.5
Missouri University of Science and Technology,10,2399967.0,15,239996.7
Research Foundation CUNY - Advanced Science Research Center,3,750000.0,7,250000.0
"CIPHERMODE LABS, INC.",1,256000.0,1,256000.0
University of California-Santa Barbara,7,17553980.0,18,2507711.4285714286
Advanced Paving Technolgies Inc.,1,224466.0,2,224466.0
University of California-Riverside,10,2218683.0,13,221868.3
"Gadusol Laboratories, Inc.",1,750000.0,1,750000.0
"PROMPT DIAGNOSTICS, INC.",2,1505667.0,1,752833.5
"FOURTH POWER, INC.",2,1409716.0,2,704858.0
CueThink,1,747318.0,1,747318.0
PERCEV LLC,2,1256000.0,2,628000.0
"Geosyntec Consultants, Inc.",2,5649988.0,5,2824994.0
HYFI LLC,2,1518544.0,1,759272.0
Swift Solar Inc.,1,1000000.0,2,1000000.0
PANGEA CHAT LLC,2,1256000.0,1,628000.0
"LYOWAVE, INC",1,304436.0,1,304436.0
TALK COACHES INC,1,305000.0,1,305000.0
"GREENSIGHT AGRONOMICS, INC.",2,1196739.0,1,598369.5
University of Akron,20,2599999.0,24,129999.95
University of Georgia Research Foundation Inc,15,10199901.0,34,679993.4
ARCLET LLC,1,274920.0,1,274920.0
TAKA SOLAR CORPORATION,1,255779.0,1,255779.0
Joan and Sanford I. Weill Medical College of Cornell University,2,100000.0,2,50000.0
Baylor University,7,1549999.0,6,221428.42857142858
"LIGERO, INC.",1,252754.0,1,252754.0
Indiana University,10,5910614.0,24,591061.4
Stanford University,18,6129851.0,25,340547.27777777775
University of Texas at Dallas,5,949392.0,9,189878.4
"WAVE LOGIX, INC.",2,1255906.0,3,627953.0
"SysteMECH, Inc.",1,707321.0,2,707321.0
"University of Texas, M.D. Anderson Cancer Center",1,50000.0,1,50000.0
"POMODYNE, INC.",1,256000.0,1,256000.0
Avidhrt Inc,1,713644.0,1,713644.0
RIFT VALLEY HEALTH COMPANY,1,256000.0,1,256000.0
"BULLSEYE BIODEVICES, INC.",1,305000.0,2,305000.0
Colorado State University,12,2404989.0,24,200415.75
The Montalvo Corporation,1,748394.0,2,748394.0
University of Louisville Research Foundation Inc,14,2534720.0,20,181051.42857142858
Rensselaer Polytechnic Institute,8,2294978.0,18,286872.25
University of Virginia Main Campus,13,7005778.0,36,538906.0
"BASS AGRITECH, INC",1,269642.0,1,269642.0
MAIA ANALYTICA LLC,1,883713.0,1,883713.0
"Gigajot Technology, Inc.",1,741210.0,1,741210.0
University of Illinois at Urbana-Champaign,22,14095851.0,31,640720.5
"PROJECT VESTA, PBC",1,273994.0,2,273994.0
"Lotic Labs, Inc.",1,749121.0,1,749121.0
Louisiana State University at Eunice,1,399999.0,3,399999.0
SENSVITA INC.,1,305000.0,2,305000.0
IMPRESSIO INC,2,1224999.0,1,612499.5
Novonate Inc,1,256000.0,1,256000.0
Montgomery College,2,775000.0,6,387500.0
Rutgers University New Brunswick,18,4959997.0,33,275555.3888888889
"TRAXyL, Inc.",1,992848.0,1,992848.0
"HYQ RESEARCH SOLUTIONS, LLC",2,1223070.0,1,611535.0
"ALERJE, INC.",2,1255331.0,1,627665.5
Aerosol Devices Inc.,2,1004661.0,2,502330.5
MOSAIC MICROSYSTEMS LLC,1,747957.0,1,747957.0
"AMPHIX BIO, INC.",2,1252906.0,1,626453.0
WildSpark Technologies,1,224814.0,1,224814.0
University of South Florida,15,12809708.0,32,853980.5333333333
KISMET TECHNOLOGIES Inc.,2,1251334.0,3,625667.0
University of New Mexico Health Sciences Center,1,50000.0,1,50000.0
"United Semiconductors, LLC",1,275000.0,1,275000.0
POLYMER SOLUTIONS INC,1,275000.0,1,275000.0
LOGISTICS MANAGEMENT INSTITUTE,1,4387731.0,1,4387731.0
LUMINOVA BIOTECH LLC,1,305000.0,3,305000.0
ADDEN ENERGY INC,1,274990.0,2,274990.0
APPLIED IMPULSE INC.,1,275000.0,1,275000.0
"SUPERCLEAN GLASS, INC.",2,1255974.0,1,627987.0
University of Massachusetts Boston,1,50000.0,1,50000.0
SUNY at Binghamton,18,23149994.0,25,1286110.7777777778
San Diego State University Foundation,8,2842491.0,19,355311.375
"FUM TECHNOLOGIES, INC",1,275000.0,1,275000.0
The National GEM Consortium,1,3498254.0,2,3498254.0
VAPOR CELL TECHNOLOGIES LLC,2,1212229.0,2,606114.5
"EVOLVE GENOMIX, INC.",1,270128.0,1,270128.0
Squishy Robotics Inc.,1,733898.0,2,733898.0
ZQAI LLC,1,275000.0,2,275000.0
RAPA TECHNOLOGIES LLC,1,274976.0,1,274976.0
"BIRCH BIOSCIENCES, LLC",2,1255840.0,1,627920.0
Oregon State University,15,7342919.0,37,489527.93333333335
George Washington University,15,2639298.0,25,175953.2
SKYWALK INC.,1,275000.0,1,275000.0
University of Maryland Baltimore County,8,2923208.0,19,365401.0
HERA HEALTH SOLUTIONS INC.,1,275000.0,1,275000.0
"Read, Ask, Chat, Ltd.",1,692387.0,1,692387.0
"EVOLOH, INC.",2,1523315.0,1,761657.5
"37DEGREES, INC.",1,275000.0,1,275000.0
Elektrofi Inc,1,750000.0,1,750000.0
Youngstown State University,1,400000.0,2,400000.0
COLLAMEDIX INC.,1,987918.0,1,987918.0
"TERRAFERMA FOODS, INC.",1,275000.0,1,275000.0
"CROSSMHV, L.L.C",1,255478.0,2,255478.0
"SpringGem Weather Information, LLC",1,225000.0,1,225000.0
LUCATA CORPORATION,1,255916.0,1,255916.0
"NanoSpy, Inc.",1,256000.0,1,256000.0
AFFECTIFI INC.,1,1000000.0,1,1000000.0
"BRAINSOFT, LLC",1,256000.0,2,256000.0
NEUROSOMNICSLLC,1,269942.0,1,269942.0
"Stereology Resource Center, Inc.",1,736172.0,3,736172.0
TRANSPARENT PATH SPC,1,274147.0,2,274147.0
HYPOGENICA LLC,1,304901.0,2,304901.0
Marquette University,3,150000.0,5,50000.0
"Adnoviv, Inc.",1,750000.0,3,750000.0
DRAKEFORD SCOTT & ASSOCIATES,1,255998.0,1,255998.0
"FLEX ORTHOPAEDICS, INC.",1,274997.0,1,274997.0
"NANODIAN, INC.",1,255976.0,1,255976.0
Donald Danforth Plant Science Center,3,1548134.0,7,516044.6666666667
Texas Tech University Health Science Center,6,300000.0,6,50000.0
"SOFTHREAD, INC.",2,1240905.0,1,620452.5
CLC GLOBAL-USA,1,224999.0,2,224999.0
NanoSepex Inc.,1,662453.0,1,662453.0
"PediaMetrix, Inc.",1,982499.0,2,982499.0
University of Texas at El Paso,8,16554998.0,15,2069374.75
"INSTITUTE FOR FUTURE INTELLIGENCE, INC.",1,170995.0,1,170995.0
Kansas State University,1,999990.0,1,999990.0
Southern Methodist University,1,50000.0,1,50000.0
Georgia Tech Research Institute,1,649148.0,5,649148.0
"ONE SPOT LEARNING, INC.",2,1504226.0,1,752113.0
"Blue Latitudes, LLC.",1,750000.0,4,750000.0
"PHOTOCIDE PROTECTION, INC.",1,225000.0,3,225000.0
NANORED LLC,1,246731.0,2,246731.0
"SOCTERA, INC.",2,1256000.0,1,628000.0
Additive Manufacturing Innovations LLC,1,256000.0,3,256000.0
"ALLBEAMS, INC.",1,242000.0,1,242000.0
CORNERSTONE GENOMICS LLC,1,999594.0,1,999594.0
George Mason University,18,14782393.0,42,821244.0555555555
"EMERALD TUTU INC, THE",2,1253502.0,1,626751.0
"ELECTROFLOW TECHNOLOGIES, INC.",1,305000.0,1,305000.0
DINYA DNA LLC,1,275000.0,2,275000.0
University Industry Demonstration Partnership,3,564037.0,1,188012.33333333334
SANITARY GREEN INCORPORATED,1,991482.0,1,991482.0
MAP OS LLC,1,256000.0,1,256000.0
"AEROSHIELD MATERIALS, INC.",2,1256000.0,1,628000.0
Space Balloon Technologies Corp.,2,1505999.0,1,752999.5
"Perceive, Inc.",1,750000.0,1,750000.0
"MADISON SCIENTIFIC, INC.",2,1255936.0,1,627968.0
EARTHEN CARBON LLC,1,274390.0,1,274390.0
FOLDE INC,1,303242.0,1,303242.0
"CYTORECOVERY, INC.",2,1208544.0,3,604272.0
"EVOLUTION DEVICES, INC.",1,998608.0,1,998608.0
"ASSISTANCE IN MOTION, INC.",1,256000.0,1,256000.0
"RIVIEH, INC.",2,1255841.0,1,627920.5
"T-OMEGA WIND, INC.",1,255999.0,2,255999.0
Syzygy Plasmonics Inc,1,961378.0,1,961378.0
Case Western Reserve University,8,2370307.0,16,296288.375
"STEAM INSTRUMENTS, INC.",2,1504884.0,1,752442.0
"VERISIM LIFE, INC.",1,255908.0,1,255908.0
"ENVISION ENDOSCOPY, INC.",1,999952.0,1,999952.0
BIODYNAMIK,1,275000.0,1,275000.0
"LANDSDOWNE LABS, LLC",2,1256000.0,2,628000.0
Union College,3,430137.0,3,143379.0
MITHRILAI CORP.,1,272773.0,2,272773.0
THEROMICS INC.,2,1256000.0,3,628000.0
Research Foundation of the State University of New York,3,1166629.0,7,388876.3333333333
Alvernia University,1,400000.0,2,400000.0
Research Triangle Institute,2,1299950.0,6,649975.0
Alabama A&M University,2,249999.0,2,124999.5
"STEC TECHNOLOGY, INC.",1,242890.0,1,242890.0
ENDURA THERAPEUTICS INC,1,303445.0,1,303445.0
Oakland University,7,1249156.0,5,178450.85714285713
"FORAGR MEDICINES, INC",1,275000.0,1,275000.0
"GENIPHYS, LLC",1,974349.0,1,974349.0
IIAM CORPORATION,2,1525000.0,1,762500.0
OT APP DESIGN LLC,1,255993.0,1,255993.0
CREATIVE BIOTHERAPEUTICS LLC,2,1245700.0,1,622850.0
CUNY Hunter College,2,100000.0,2,50000.0
CROOKES RESEARCH LLC,2,1256000.0,1,628000.0
Maricopa County Community College District,1,398508.0,3,398508.0
"VERANTOS, INC.",1,999458.0,1,999458.0
"TRUSPIN NANOMATERIAL INNOVATION, INC.",2,1219349.0,2,609674.5
Capro-X,1,724052.0,1,724052.0
OTHERWORDLY LLC,1,274990.0,1,274990.0
NEUROTECHR3 INC.,2,1253735.0,1,626867.5
OPTICAL WATERS LLC,2,1239268.0,2,619634.0
Malachite Technologies,1,750000.0,1,750000.0
Brigham Young University,4,899367.0,4,224841.75
STRATAJAM LLC,1,256000.0,3,256000.0
"EPIDAURUS HEALTH, INC.",1,1000000.0,1,1000000.0
"BLUESHIFT, LLC",1,950618.0,1,950618.0
"Bender Tech, LLC",1,1000000.0,1,1000000.0
FRONTLINE BIOTECHNOLOGIES INC.,2,1270600.0,2,635300.0
"CARIDIAN MEDICAL, INC.",1,255841.0,1,255841.0
University of Rochester,9,2998867.0,15,333207.44444444444
"ENERGYXCHAIN, LLC",1,736315.0,1,736315.0
RANCHCHECK INC.,2,1254857.0,1,627428.5
HYPERKELP INC,1,274694.0,1,274694.0
SUNAIRIO INC.,1,275000.0,1,275000.0
"NANORESEARCH, INC.",1,256000.0,1,256000.0
University of Florida,9,3614997.0,25,401666.3333333333
XIMPATICO INC.,1,224999.0,1,224999.0
"G-SPACE, INC",1,225000.0,1,225000.0
"NX FUELS, INC.",1,255948.0,1,255948.0
"BIOMIMICS, LLC",2,1256000.0,1,628000.0
ECATE LLC,2,528861.0,1,264430.5
"ANYGLABS, INC.",2,1504393.0,1,752196.5
CLASS BUCKS LLC,1,275000.0,1,275000.0
HPLUS INC,1,269334.0,1,269334.0
YOTTA LABS INC,1,296736.0,1,296736.0
TIBBAR PLASMA TECHNOLOGIES INC.,1,995712.0,1,995712.0
"HIGGINS ENVIRONMENTAL ASSOCIATES, INC.",1,254504.0,1,254504.0
SALUS FINANCIAL TECHNOLOGY INC.,1,274541.0,1,274541.0
STARGAZER DESIGN TECHNOLOGIES INC,1,274644.0,1,274644.0
"CycloPure, Inc.",1,725665.0,2,725665.0
Clarkson University,5,850000.0,9,170000.0
PHOENIX WASTE SOLUTIONS INC.,2,1256000.0,1,628000.0
FloraPulse Co,1,255544.0,1,255544.0
Stochastic Research Technologies LLC,2,1255330.0,2,627665.0
CAUSALIT LLC,1,304929.0,1,304929.0
"EDEN GEOPOWER, INC.",1,740370.0,1,740370.0
ANGEL CAPITAL ASSOCIATION,1,123310.0,1,123310.0
XFlow Energy Company,1,750000.0,1,750000.0
"SOLARID AR, LLC.",2,1206157.0,1,603078.5
MAGMA SPACE LLC,1,274995.0,1,274995.0
FireHUD Inc.,1,748654.0,1,748654.0
"Hummingbird Nano, Inc.",1,256000.0,1,256000.0
University of Texas at Arlington,10,6047533.0,21,604753.3
The Tor Project,1,1500000.0,1,1500000.0
SUNY at Albany,3,120000.0,6,40000.0
"DISCRETE LATTICE INDUSTRIES, LLC",1,254430.0,1,254430.0
PUMPKINSEED TECHNOLOGIES INC,2,1524115.0,1,762057.5
"SynMatter, LLC",1,991881.0,1,991881.0
American Nanotechnologies Inc.,1,256000.0,2,256000.0
"GRID MODERNIZATION SOLUTIONS, L.L.C.",2,1248975.0,1,624487.5
THERACEA PHARMA LC,2,531000.0,2,265500.0
LinkDyn Robotics Inc.,1,750000.0,1,750000.0
"OPOS, INC.",1,247557.0,1,247557.0
MICROPURE GENOMICS INC.,2,1524199.0,1,762099.5
"THINK BIOSCIENCE, INC.",2,1255937.0,4,627968.5
"IREPROGRAM, LLC",1,256000.0,2,256000.0
OAKGROVE BIO LLC,2,1256000.0,1,628000.0
Emagine Solutions Technology,2,1230885.0,1,615442.5
"REVIVBIO, INC",1,275000.0,1,275000.0
"CARTESIAN SYSTEMS, INC.",2,1274960.0,1,637480.0
Sustainable Bioproducts LLC,1,620779.0,1,620779.0
ARZEDA Corp.,2,14115188.0,6,7057594.0
COMON SOLUTIONS LLC,2,1256000.0,1,628000.0
"BEYOND SILICON, INC.",1,274999.0,1,274999.0
CLARUS LABS LLC,1,300562.0,2,300562.0
KILELE HEALTH LLC,2,1255657.0,3,627828.5
MATTIQ INC,2,530904.0,1,265452.0
Rowan University,13,1311930.0,14,100917.69230769231
